monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
204.0,8.0,0.0,0.0,0.0,8
204.1,8.0,0.0,0.0,0.0,8
204.2,8.0,0.0,0.0,0.0,8
204.3,8.0,0.0,0.0,0.0,8
204.4,232.0,431.0,0.0,0.0,8
204.5,232.0,431.0,0.0,0.0,8
204.6,232.0,431.0,0.0,0.0,8
204.7,232.0,431.0,0.0,0.0,8
204.8,232.0,431.0,0.0,0.0,8
204.9,1024.0,1004.0,0.0,0.0,8
205.0,1024.0,1004.0,0.0,0.0,8
205.1,1024.0,1004.0,0.0,0.0,8
205.2,1024.0,1004.0,0.0,0.0,8
205.3,1024.0,1004.0,0.0,0.0,8
205.4,2062.0,2700.0,0.0,0.0,8
205.5,2062.0,2700.0,0.0,0.0,8
205.6,2062.0,2700.0,0.0,0.0,8
205.7,2821.0,4078.0,0.0,0.0,8
205.8,3076.0,4538.0,0.0,0.0,8
205.9,3076.0,4538.0,0.0,0.0,8
206.0,3076.0,4538.0,0.0,0.0,8
206.1,3076.0,4538.0,0.0,0.0,8
206.2,3076.0,4538.0,0.0,0.0,8
206.3,3076.0,4538.0,0.0,0.0,8
206.4,3076.0,4538.0,0.0,0.0,8
206.5,3076.0,4538.0,0.0,0.0,8
206.6,3076.0,4538.0,0.0,0.0,8
206.7,3076.0,4538.0,0.0,0.0,8
206.8,3076.0,4538.0,0.0,0.0,8
206.9,3076.0,4538.0,0.0,0.0,8
207.0,3076.0,4538.0,0.0,0.0,8
207.1,3076.0,4538.0,0.0,0.0,8
207.2,3076.0,4538.0,0.0,0.0,8
207.3,3076.0,4538.0,0.0,0.0,8
207.4,3076.0,4538.0,0.0,0.0,8
207.5,3076.0,4538.0,0.0,0.0,8
207.6,3205.0,4511.0,0.0,0.0,8
207.7,3570.0,4382.0,0.0,0.0,8
207.8,3767.0,4328.0,0.0,0.0,8
207.9,3795.0,4318.0,0.0,0.0,8
208.0,3840.0,4328.0,3377.607516377372,932663.0,8
208.1,3848.0,4330.0,3929.81974027294,1088030.0,8
208.2,3858.0,4332.0,4511.963140229729,1253776.0,8
208.3,3858.0,4332.0,4511.963140229729,1253776.0,8
208.4,3858.0,4332.0,4511.963140229729,1253776.0,8
208.5,3855.0,4324.0,4511.963140229729,1253776.0,8
208.6,3849.0,4296.0,4511.963140229729,1253776.0,8
208.7,3837.0,4256.0,4511.963140229729,1253776.0,8
208.8,3827.0,4214.0,4511.963140229729,1253776.0,8
208.9,3798.0,4154.0,4511.963140229729,1253776.0,8
209.0,3736.0,4067.0,4511.963140229729,1253776.0,8
209.1,3731.0,4041.0,4511.963140229729,1253776.0,8
209.2,3745.0,4080.0,4511.963140229729,1253776.0,8
209.3,3766.0,4099.0,4511.963140229729,1253776.0,8
209.4,3749.0,4130.0,4511.963140229729,1253776.0,8
209.5,3776.0,4139.0,4511.963140229729,1253776.0,8
209.6,3766.0,4109.0,4511.963140229729,1253776.0,8
209.7,3747.0,4071.0,4511.963140229729,1253776.0,8
209.8,3732.0,4034.0,4511.963140229729,1253776.0,8
209.9,3712.0,4009.0,4511.963140229729,1253776.0,8
210.0,3713.0,4001.0,4511.963140229729,1253776.0,8
210.1,3759.0,4007.0,4511.963140229729,1253776.0,8
