monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
201.4,7.0,98.0,0.0,0.0,8
201.5,8.0,0.0,0.0,0.0,8
201.6,8.0,0.0,0.0,0.0,8
201.7,8.0,0.0,0.0,0.0,8
201.8,64.0,0.0,0.0,0.0,8
201.9,204.0,0.0,0.0,0.0,8
202.0,232.0,0.0,0.0,0.0,8
202.1,232.0,0.0,0.0,0.0,8
202.2,232.0,0.0,0.0,0.0,8
202.3,232.0,0.0,0.0,0.0,8
202.4,232.0,0.0,0.0,0.0,8
202.5,232.0,0.0,0.0,0.0,8
202.6,232.0,0.0,0.0,0.0,8
202.7,925.0,0.0,1313.679994790092,292938.0,8
202.8,1024.0,0.0,1501.7417809063345,334816.0,8
202.9,1024.0,0.0,1501.7417809063345,334816.0,8
203.0,1024.0,0.0,1501.7417809063345,334816.0,8
203.1,1024.0,0.0,1501.7417809063345,334816.0,8
203.2,1024.0,0.0,1501.7417809063345,334816.0,8
203.3,1024.0,0.0,1501.7417809063345,334816.0,8
203.4,262.0,0.0,30875.609745213165,92700.0,8
203.5,253.0,6.0,30875.609745213165,92700.0,8
203.6,251.0,47.0,30875.609745213165,92700.0,8
203.7,248.0,47.0,30875.609745213165,92700.0,8
203.8,141.0,47.0,30875.609745213165,92700.0,8
203.9,130.0,48.0,30875.609745213165,92700.0,8
204.0,132.0,71.0,30875.609745213165,92700.0,8
204.1,135.0,112.0,30875.609745213165,92700.0,8
204.2,144.0,189.0,30875.609745213165,92700.0,8
204.3,154.0,259.0,30875.609745213165,92700.0,8
204.4,179.0,404.0,30875.609745213165,92700.0,8
204.5,209.0,510.0,30875.609745213165,92700.0,8
204.6,224.0,533.0,30875.609745213165,92700.0,8
204.7,239.0,547.0,30875.609745213165,92700.0,8
204.8,267.0,515.0,30875.609745213165,92700.0,8
204.9,297.0,483.0,30875.609745213165,92700.0,8
205.0,329.0,451.0,30875.609745213165,92700.0,8
205.1,345.0,435.0,30875.609745213165,92700.0,8
205.2,361.0,419.0,30875.609745213165,92700.0,8
205.3,392.0,387.0,30875.609745213165,92700.0,8
205.4,423.0,355.0,30875.609745213165,92700.0,8
205.5,423.0,355.0,30875.609745213165,92700.0,8
205.6,455.0,323.0,30875.609745213165,92700.0,8
