monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
199.9,3.0,304.0,0.0,0.0,8
200.0,6.0,122.0,0.0,0.0,8
200.1,37.0,271.0,0.0,0.0,8
200.2,182.0,1454.0,0.0,0.0,8
200.3,182.0,1454.0,0.0,0.0,8
200.4,211.0,1700.0,0.0,0.0,8
200.5,211.0,1700.0,0.0,0.0,8
200.6,299.0,1779.0,0.0,0.0,8
200.7,606.0,1334.0,0.0,0.0,8
200.8,606.0,1334.0,0.0,0.0,8
200.9,698.0,1207.0,0.0,0.0,8
201.0,698.0,1207.0,0.0,0.0,8
201.1,834.0,1087.0,0.0,0.0,8
201.2,1631.0,507.0,0.0,0.0,8
201.3,1631.0,507.0,0.0,0.0,8
201.4,1766.0,433.0,0.0,0.0,8
201.5,1766.0,433.0,0.0,0.0,8
201.6,2598.0,388.0,0.0,0.0,8
201.7,2735.0,388.0,0.0,0.0,8
201.8,3001.0,388.0,0.0,0.0,8
201.9,3001.0,388.0,0.0,0.0,8
202.0,3001.0,388.0,0.0,0.0,8
202.1,3001.0,388.0,0.0,0.0,8
202.2,3001.0,388.0,0.0,0.0,8
202.3,3001.0,388.0,0.0,0.0,8
202.4,3001.0,388.0,0.0,0.0,8
202.5,3001.0,388.0,0.0,0.0,8
202.6,3001.0,388.0,0.0,0.0,8
202.7,3001.0,388.0,0.0,0.0,8
202.8,3001.0,388.0,0.0,0.0,8
202.9,3001.0,388.0,0.0,0.0,8
203.0,3001.0,388.0,0.0,0.0,8
203.1,3001.0,388.0,0.0,0.0,8
203.2,3001.0,388.0,0.0,0.0,8
203.3,3001.0,388.0,0.0,0.0,8
203.4,3001.0,388.0,0.0,0.0,8
203.5,3001.0,388.0,0.0,0.0,8
203.6,3001.0,388.0,0.0,0.0,8
203.7,3191.0,388.0,1213.7319207709702,295554.0,8
203.8,3471.0,388.0,3036.861365238051,740111.0,8
203.9,3662.0,388.0,4295.191975984445,1047100.0,8
204.0,3708.0,388.0,4925.986144715107,1202644.0,8
204.1,3708.0,388.0,4925.986144715107,1202644.0,8
204.2,3706.0,295.0,4925.986144715107,1202644.0,8
204.3,3702.0,156.0,4925.986144715107,1202644.0,8
204.4,3745.0,76.0,4925.986144715107,1202644.0,8
204.5,3925.0,7.0,4925.986144715107,1202644.0,8
204.6,3992.0,0.0,4925.986144715107,1202644.0,8
204.7,3992.0,0.0,4925.986144715107,1202644.0,8
204.8,3992.0,0.0,4925.986144715107,1202644.0,8
204.9,3992.0,0.0,4925.986144715107,1202644.0,8
205.0,3992.0,0.0,4925.986144715107,1202644.0,8
205.1,3992.0,0.0,4925.986144715107,1202644.0,8
205.2,3992.0,0.0,4925.986144715107,1202644.0,8
205.3,3992.0,0.0,4925.986144715107,1202644.0,8
205.4,3992.0,0.0,4925.986144715107,1202644.0,8
205.5,3992.0,0.0,4925.986144715107,1202644.0,8
