monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
234.0,2.0,1866.0,0.0,0.0,8
234.1,8.0,1126.0,0.0,0.0,8
234.2,8.0,1126.0,0.0,0.0,8
234.3,8.0,1126.0,0.0,0.0,8
234.4,8.0,1126.0,0.0,0.0,8
234.5,44.0,1376.0,0.0,0.0,8
234.6,134.0,1510.0,0.0,0.0,8
234.7,152.0,1507.0,0.0,0.0,8
234.8,152.0,1507.0,0.0,0.0,8
234.9,152.0,1507.0,0.0,0.0,8
235.0,305.0,1383.0,0.0,0.0,8
235.1,1073.0,766.0,0.0,0.0,8
235.2,1377.0,493.0,0.0,0.0,8
235.3,1377.0,493.0,0.0,0.0,8
235.4,1377.0,493.0,0.0,0.0,8
235.5,1680.0,493.0,0.0,0.0,8
235.6,2429.0,493.0,0.0,0.0,8
235.7,2581.0,493.0,0.0,0.0,8
235.8,2581.0,493.0,0.0,0.0,8
235.9,2581.0,493.0,0.0,0.0,8
236.0,2581.0,493.0,0.0,0.0,8
236.1,2581.0,493.0,0.0,0.0,8
236.2,2581.0,493.0,0.0,0.0,8
236.3,2581.0,493.0,0.0,0.0,8
236.4,2581.0,493.0,0.0,0.0,8
236.5,2581.0,493.0,0.0,0.0,8
236.6,2581.0,493.0,0.0,0.0,8
236.7,2581.0,493.0,0.0,0.0,8
236.8,2581.0,493.0,0.0,0.0,8
236.9,2581.0,493.0,0.0,0.0,8
237.0,2581.0,493.0,0.0,0.0,8
237.1,2581.0,493.0,0.0,0.0,8
237.2,2705.0,439.0,0.0,0.0,8
237.3,3152.0,254.0,0.0,0.0,8
237.4,3640.0,62.0,0.0,0.0,8
237.5,3861.0,0.0,0.0,0.0,8
237.6,3861.0,0.0,0.0,0.0,8
237.7,3861.0,0.0,0.0,0.0,8
237.8,3861.0,0.0,0.0,0.0,8
237.9,3861.0,0.0,0.0,0.0,8
238.0,3861.0,0.0,0.0,0.0,8
238.1,3861.0,0.0,0.0,0.0,8
238.2,3861.0,0.0,0.0,0.0,8
238.3,3451.0,0.0,1707.4064241025785,512082.0,8
238.4,2899.0,0.0,3956.6781095769866,1189377.0,8
238.5,2760.0,0.0,4499.5713153096485,1352396.0,8
238.6,2760.0,0.0,4499.5713153096485,1352396.0,8
238.7,2760.0,0.0,4499.5713153096485,1352396.0,8
238.8,2760.0,0.0,4499.5713153096485,1352396.0,8
238.9,2760.0,0.0,4499.5713153096485,1352396.0,8
239.0,2760.0,0.0,4499.5713153096485,1352396.0,8
239.1,2760.0,0.0,4499.5713153096485,1352396.0,8
239.2,2760.0,0.0,4499.5713153096485,1352396.0,8
239.3,2760.0,0.0,4499.5713153096485,1352396.0,8
239.4,2760.0,0.0,4499.5713153096485,1352396.0,8
239.5,2760.0,0.0,4499.5713153096485,1352396.0,8
239.6,2760.0,0.0,4499.5713153096485,1352396.0,8
239.7,2760.0,0.0,4499.5713153096485,1352396.0,8
239.8,2760.0,0.0,4499.5713153096485,1352396.0,8
239.9,2760.0,0.0,4499.5713153096485,1352396.0,8
240.0,2760.0,0.0,4499.5713153096485,1352396.0,8
240.1,2760.0,0.0,4499.5713153096485,1352396.0,8
240.2,2760.0,0.0,4499.5713153096485,1352396.0,8
240.3,2588.0,0.0,14796.235623344775,1290142.0,8
240.4,2413.0,0.0,24959.570722063945,1226321.0,8
240.5,2095.0,0.0,45402.346600966106,1114481.0,8
240.6,2095.0,0.0,45402.346600966106,1114481.0,8
240.7,2095.0,0.0,45402.346600966106,1114481.0,8
240.8,2095.0,0.0,45402.346600966106,1114481.0,8
240.9,2095.0,0.0,45402.346600966106,1114481.0,8
241.0,2095.0,0.0,45402.346600966106,1114481.0,8
241.1,2095.0,0.0,45402.346600966106,1114481.0,8
241.2,2095.0,0.0,45402.346600966106,1114481.0,8
241.3,2095.0,0.0,45402.346600966106,1114481.0,8
241.4,2095.0,0.0,45402.346600966106,1114481.0,8
241.5,2095.0,0.0,45402.346600966106,1114481.0,8
241.6,2095.0,0.0,45402.346600966106,1114481.0,8
241.7,2080.0,0.0,45402.346600966106,1114481.0,8
241.8,2066.0,0.0,45402.346600966106,1114481.0,8
241.9,2067.0,0.0,45402.346600966106,1114481.0,8
242.0,2054.0,0.0,45402.346600966106,1114481.0,8
242.1,2055.0,0.0,45338.8596682574,1121984.0,8
242.2,2056.0,0.0,45169.78324257424,1131758.0,8
242.3,2057.0,0.0,45037.78794360615,1142437.0,8
242.4,2059.0,0.0,44133.33146821527,1158714.0,8
242.5,2054.0,0.0,43111.94794514306,1172884.0,8
242.6,2055.0,0.0,42601.15882415854,1181635.0,8
242.7,2055.0,0.0,42601.15882415854,1181635.0,8
242.8,2055.0,0.0,42601.15882415854,1181635.0,8
242.9,2053.0,0.0,42601.15882415854,1181635.0,8
243.0,2052.0,0.0,42601.15882415854,1181635.0,8
243.1,2050.0,0.0,42601.15882415854,1181635.0,8
243.2,2049.0,0.0,42601.15882415854,1181635.0,8
243.3,2050.0,0.0,42601.15882415854,1181635.0,8
243.4,2050.0,0.0,42601.15882415854,1181635.0,8
243.5,2051.0,0.0,42601.15882415854,1181635.0,8
243.6,2051.0,0.0,42601.15882415854,1181635.0,8
243.7,2053.0,0.0,42601.15882415854,1181635.0,8
243.8,2058.0,0.0,42601.15882415854,1181635.0,8
243.9,2057.0,0.0,42601.15882415854,1181635.0,8
244.0,2057.0,0.0,42601.15882415854,1181635.0,8
244.1,2057.0,0.0,42601.15882415854,1181635.0,8
244.2,2058.0,0.0,42063.71647189977,1194912.0,8
244.3,2062.0,0.0,40921.909938924415,1220845.0,8
244.4,2063.0,0.0,40921.909938924415,1220845.0,8
244.5,2062.0,0.0,40477.68721221402,1234657.0,8
244.6,2065.0,0.0,39629.282161816234,1257905.0,8
244.7,2067.0,0.0,39162.75112999026,1270274.0,8
244.8,2066.0,0.0,38668.627951278504,1282251.0,8
244.9,2064.0,0.0,38668.627951278504,1282251.0,8
245.0,2063.0,0.0,38668.627951278504,1282251.0,8
245.1,2065.0,0.0,38668.627951278504,1282251.0,8
245.2,2065.0,0.0,38668.627951278504,1282251.0,8
245.3,2065.0,0.0,38668.627951278504,1282251.0,8
245.4,2065.0,0.0,38668.627951278504,1282251.0,8
245.5,2065.0,0.0,38668.627951278504,1282251.0,8
245.6,2062.0,0.0,38668.627951278504,1282251.0,8
245.7,2059.0,0.0,38668.627951278504,1282251.0,8
245.8,2059.0,0.0,38668.627951278504,1282251.0,8
245.9,2063.0,0.0,38668.627951278504,1282251.0,8
246.0,2063.0,0.0,38668.627951278504,1282251.0,8
246.1,2063.0,0.0,38668.627951278504,1282251.0,8
246.2,2068.0,0.0,38668.627951278504,1282251.0,8
246.3,2073.0,0.0,38668.627951278504,1282251.0,8
246.4,2079.0,0.0,38668.627951278504,1282251.0,8
246.5,2085.0,0.0,38668.627951278504,1282251.0,8
246.6,2092.0,0.0,38668.627951278504,1282251.0,8
246.7,2092.0,0.0,38668.627951278504,1282251.0,8
246.8,2092.0,0.0,38668.627951278504,1282251.0,8
246.9,2091.0,0.0,38668.627951278504,1282251.0,8
247.0,2099.0,0.0,38668.627951278504,1282251.0,8
247.1,2108.0,0.0,38668.627951278504,1282251.0,8
247.2,2111.0,0.0,38668.627951278504,1282251.0,8
247.3,2114.0,0.0,34730.77231011201,1345299.0,8
247.4,2107.0,0.0,33224.70746626172,1365938.0,8
247.5,2109.0,0.0,31990.538717318028,1386639.0,8
247.6,2116.0,0.0,31990.538717318028,1386639.0,8
247.7,2117.0,0.0,31990.538717318028,1386639.0,8
247.8,2126.0,0.0,29986.146255812047,1413487.0,8
247.9,2129.0,0.0,28620.262555215253,1438721.0,8
248.0,2127.0,0.0,27228.471774782556,1465217.0,8
248.1,2132.0,0.0,27228.471774782556,1465217.0,8
248.2,2139.0,0.0,27228.471774782556,1465217.0,8
248.3,2139.0,0.0,27228.471774782556,1465217.0,8
248.4,2141.0,0.0,27228.471774782556,1465217.0,8
248.5,2145.0,0.0,27228.471774782556,1465217.0,8
248.6,2146.0,0.0,27228.471774782556,1465217.0,8
248.7,2147.0,0.0,27228.471774782556,1465217.0,8
248.8,2145.0,0.0,27228.471774782556,1465217.0,8
248.9,2143.0,0.0,27228.471774782556,1465217.0,8
249.0,2144.0,0.0,27228.471774782556,1465217.0,8
249.1,2145.0,0.0,27228.471774782556,1465217.0,8
249.2,2147.0,0.0,27228.471774782556,1465217.0,8
249.3,2148.0,0.0,27228.471774782556,1465217.0,8
249.4,2150.0,0.0,27228.471774782556,1465217.0,8
249.5,2154.0,0.0,27228.471774782556,1465217.0,8
249.6,2155.0,0.0,27228.471774782556,1465217.0,8
249.7,2152.0,0.0,27228.471774782556,1465217.0,8
249.8,2151.0,0.0,27228.471774782556,1465217.0,8
249.9,2157.0,0.0,27228.471774782556,1465217.0,8
250.0,2163.0,0.0,27228.471774782556,1465217.0,8
250.1,2164.0,0.0,27228.471774782556,1465217.0,8
250.2,2166.0,0.0,27228.471774782556,1465217.0,8
250.3,2167.0,0.0,27228.471774782556,1465217.0,8
250.4,2165.0,0.0,27228.471774782556,1465217.0,8
250.5,2169.0,0.0,27228.471774782556,1465217.0,8
250.6,2171.0,0.0,27228.471774782556,1465217.0,8
250.7,2173.0,0.0,27228.471774782556,1465217.0,8
250.8,2171.0,0.0,27228.471774782556,1465217.0,8
250.9,2171.0,0.0,27228.471774782556,1465217.0,8
251.0,2178.0,0.0,27228.471774782556,1465217.0,8
251.1,2169.0,0.0,27228.471774782556,1465217.0,8
251.2,2164.0,0.0,27228.471774782556,1465217.0,8
251.3,2164.0,0.0,27228.471774782556,1465217.0,8
251.4,2172.0,0.0,26160.953005903342,1489515.0,8
251.5,2173.0,0.0,26160.953005903342,1489515.0,8
251.6,2173.0,0.0,26160.953005903342,1489515.0,8
251.7,2160.0,0.0,25285.266135790385,1513892.0,8
251.8,2155.0,0.0,23865.770755675898,1541425.0,8
251.9,2152.0,0.0,22968.34143535694,1563723.0,8
252.0,2151.0,0.0,21738.802617310983,1589748.0,8
252.1,2151.0,0.0,21738.802617310983,1589748.0,8
252.2,2143.0,0.0,20410.16128849136,1631606.0,8
252.3,2142.0,0.0,20410.16128849136,1631606.0,8
252.4,2149.0,0.0,20410.16128849136,1631606.0,8
