monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
232.1,5.0,134.0,0.0,0.0,8
232.2,8.0,0.0,0.0,0.0,8
232.3,110.0,0.0,0.0,0.0,8
232.4,144.0,0.0,0.0,0.0,8
232.5,190.0,6.0,0.0,0.0,8
232.6,375.0,316.0,0.0,0.0,8
232.7,512.0,561.0,0.0,0.0,8
232.8,512.0,561.0,0.0,0.0,8
232.9,512.0,561.0,0.0,0.0,8
233.0,577.0,564.0,0.0,0.0,8
233.1,736.0,491.0,0.0,0.0,8
233.2,1193.0,406.0,0.0,0.0,8
233.3,1193.0,406.0,0.0,0.0,8
233.4,1193.0,406.0,0.0,0.0,8
233.5,1193.0,406.0,0.0,0.0,8
233.6,1513.0,504.0,0.0,0.0,8
233.7,2474.0,477.0,0.0,0.0,8
233.8,2474.0,477.0,0.0,0.0,8
233.9,2624.0,477.0,0.0,0.0,8
234.0,2624.0,477.0,0.0,0.0,8
234.1,2624.0,477.0,0.0,0.0,8
234.2,2624.0,477.0,0.0,0.0,8
234.3,2624.0,477.0,0.0,0.0,8
234.4,2624.0,477.0,0.0,0.0,8
234.5,2624.0,477.0,0.0,0.0,8
234.6,2624.0,477.0,0.0,0.0,8
234.7,2624.0,477.0,0.0,0.0,8
234.8,2624.0,477.0,0.0,0.0,8
234.9,2624.0,477.0,0.0,0.0,8
235.0,2624.0,477.0,0.0,0.0,8
235.1,2624.0,477.0,0.0,0.0,8
235.2,2624.0,477.0,0.0,0.0,8
235.3,2624.0,477.0,0.0,0.0,8
235.4,2624.0,477.0,0.0,0.0,8
235.5,3175.0,250.0,0.0,0.0,8
235.6,3682.0,46.0,0.0,0.0,8
235.7,3771.0,10.0,0.0,0.0,8
235.8,3787.0,0.0,0.0,0.0,8
235.9,3787.0,0.0,0.0,0.0,8
236.0,3787.0,0.0,0.0,0.0,8
236.1,3787.0,0.0,0.0,0.0,8
236.2,3787.0,0.0,0.0,0.0,8
236.3,3787.0,0.0,0.0,0.0,8
236.4,3787.0,0.0,0.0,0.0,8
236.5,3453.0,0.0,1079.8688111324298,296170.0,8
236.6,2893.0,0.0,3295.2694320976943,949377.0,8
236.7,2587.0,0.0,4440.58358379905,1266003.0,8
236.8,2587.0,0.0,4440.58358379905,1266003.0,8
236.9,2587.0,0.0,4440.58358379905,1266003.0,8
237.0,2587.0,0.0,4440.58358379905,1266003.0,8
237.1,2587.0,0.0,4440.58358379905,1266003.0,8
237.2,2587.0,0.0,4440.58358379905,1266003.0,8
237.3,2587.0,0.0,4440.58358379905,1266003.0,8
237.4,2587.0,0.0,4440.58358379905,1266003.0,8
237.5,2587.0,0.0,4440.58358379905,1266003.0,8
237.6,2587.0,0.0,4440.58358379905,1266003.0,8
237.7,2587.0,0.0,4440.58358379905,1266003.0,8
237.8,2587.0,0.0,4440.58358379905,1266003.0,8
237.9,2587.0,0.0,4440.58358379905,1266003.0,8
238.0,2587.0,0.0,4440.58358379905,1266003.0,8
238.1,2587.0,0.0,4440.58358379905,1266003.0,8
238.2,2587.0,0.0,4440.58358379905,1266003.0,8
238.3,2531.0,0.0,9819.053430263959,1247862.0,8
238.4,2439.0,0.0,20409.865643069115,1221099.0,8
238.5,2388.0,0.0,25423.428131529425,1205769.0,8
238.6,2237.0,0.0,35940.6286082947,1155374.0,8
238.7,2164.0,0.0,41104.35855501855,1131050.0,8
238.8,2088.0,0.0,46386.64834686366,1105926.0,8
238.9,2088.0,0.0,46386.64834686366,1105926.0,8
239.0,2088.0,0.0,46386.64834686366,1105926.0,8
239.1,2088.0,0.0,46386.64834686366,1105926.0,8
239.2,2088.0,0.0,46386.64834686366,1105926.0,8
239.3,2088.0,0.0,46386.64834686366,1105926.0,8
239.4,2088.0,0.0,46386.64834686366,1105926.0,8
239.5,2088.0,0.0,46386.64834686366,1105926.0,8
239.6,2088.0,0.0,46386.64834686366,1105926.0,8
