monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
200.9,7.0,875.0,0.0,0.0,8
201.0,8.0,743.0,0.0,0.0,8
201.1,8.0,743.0,0.0,0.0,8
201.2,8.0,743.0,0.0,0.0,8
201.3,8.0,743.0,0.0,0.0,8
201.4,211.0,93.0,0.0,0.0,8
201.5,240.0,0.0,0.0,0.0,8
201.6,240.0,0.0,0.0,0.0,8
201.7,240.0,0.0,0.0,0.0,8
201.8,1165.0,0.0,0.0,0.0,8
201.9,1297.0,0.0,0.0,0.0,8
202.0,1297.0,0.0,0.0,0.0,8
202.1,1297.0,0.0,0.0,0.0,8
202.2,1297.0,0.0,0.0,0.0,8
202.3,1297.0,0.0,0.0,0.0,8
202.4,1297.0,0.0,0.0,0.0,8
202.5,1297.0,0.0,0.0,0.0,8
202.6,1297.0,0.0,0.0,0.0,8
202.7,1297.0,0.0,0.0,0.0,8
202.8,1297.0,0.0,0.0,0.0,8
202.9,1297.0,0.0,0.0,0.0,8
203.0,1297.0,0.0,0.0,0.0,8
203.1,1576.0,0.0,1035.0967803822482,247009.0,8
203.2,2048.0,0.0,2762.029205736177,659984.0,8
203.3,2048.0,0.0,2762.029205736177,659984.0,8
203.4,2048.0,0.0,2762.029205736177,659984.0,8
203.5,2048.0,0.0,2762.029205736177,659984.0,8
203.6,2048.0,0.0,2762.029205736177,659984.0,8
203.7,2048.0,0.0,2762.029205736177,659984.0,8
203.8,2048.0,0.0,2762.029205736177,659984.0,8
203.9,2048.0,0.0,2762.029205736177,659984.0,8
204.0,2048.0,0.0,2762.029205736177,659984.0,8
204.1,2048.0,0.0,2762.029205736177,659984.0,8
204.2,2048.0,0.0,2762.029205736177,659984.0,8
204.3,2048.0,0.0,2762.029205736177,659984.0,8
204.4,2048.0,0.0,2762.029205736177,659984.0,8
204.5,2048.0,0.0,2762.029205736177,659984.0,8
204.6,2048.0,0.0,49925.63993252602,731664.0,8
204.7,2048.0,0.0,56642.45815221711,741904.0,8
204.8,2048.0,0.0,56642.45815221711,741904.0,8
204.9,2048.0,0.0,56642.45815221711,741904.0,8
205.0,2048.0,0.0,56642.45815221711,741904.0,8
205.1,2048.0,0.0,56642.45815221711,741904.0,8
205.2,2048.0,0.0,56642.45815221711,741904.0,8
205.3,2048.0,0.0,56642.45815221711,741904.0,8
205.4,2048.0,0.0,56642.45815221711,741904.0,8
205.5,2048.0,0.0,56642.45815221711,741904.0,8
205.6,2048.0,0.0,56642.45815221711,741904.0,8
205.7,2048.0,0.0,56642.45815221711,741904.0,8
205.8,2048.0,0.0,56642.45815221711,741904.0,8
205.9,2048.0,0.0,56642.45815221711,741904.0,8
206.0,2048.0,0.0,56642.45815221711,741904.0,8
206.1,2037.0,0.0,54970.97854268923,798951.0,8
206.2,2036.0,0.0,54443.13682589878,819028.0,8
206.3,2034.0,0.0,54443.13682589878,819028.0,8
206.4,2034.0,0.0,54443.13682589878,819028.0,8
206.5,2034.0,0.0,54443.13682589878,819028.0,8
206.6,2034.0,0.0,54443.13682589878,819028.0,8
206.7,2034.0,0.0,54443.13682589878,819028.0,8
206.8,2024.0,0.0,54443.13682589878,819028.0,8
206.9,2020.0,0.0,54443.13682589878,819028.0,8
207.0,2020.0,0.0,54443.13682589878,819028.0,8
207.1,2016.0,0.0,54443.13682589878,819028.0,8
207.2,2007.0,0.0,54443.13682589878,819028.0,8
207.3,2007.0,0.0,54443.13682589878,819028.0,8
207.4,1996.0,0.0,54443.13682589878,819028.0,8
207.5,1995.0,0.0,54443.13682589878,819028.0,8
207.6,1992.0,0.0,54062.48122226475,825712.0,8
207.7,1978.0,0.0,52987.09471455405,840175.0,8
207.8,1979.0,0.0,49105.49113000301,887734.0,8
207.9,1977.0,0.0,49105.49113000301,887734.0,8
208.0,1977.0,0.0,49105.49113000301,887734.0,8
208.1,1975.0,0.0,49105.49113000301,887734.0,8
208.2,1975.0,0.0,49105.49113000301,887734.0,8
208.3,1975.0,0.0,49105.49113000301,887734.0,8
208.4,1973.0,0.0,49105.49113000301,887734.0,8
208.5,1973.0,0.0,49105.49113000301,887734.0,8
208.6,1974.0,0.0,49105.49113000301,887734.0,8
208.7,1971.0,0.0,49105.49113000301,887734.0,8
208.8,1975.0,0.0,49105.49113000301,887734.0,8
208.9,1969.0,0.0,49105.49113000301,887734.0,8
209.0,1969.0,0.0,49105.49113000301,887734.0,8
209.1,1967.0,0.0,49105.49113000301,887734.0,8
209.2,1970.0,0.0,49105.49113000301,887734.0,8
209.3,1965.0,0.0,49105.49113000301,887734.0,8
209.4,1968.0,0.0,49105.49113000301,887734.0,8
209.5,1969.0,0.0,49105.49113000301,887734.0,8
209.6,1971.0,0.0,46129.85461250821,923145.0,8
209.7,1970.0,0.0,43406.42663549003,957296.0,8
209.8,1969.0,0.0,41924.43049886099,973855.0,8
209.9,1970.0,0.0,40680.319972093006,990594.0,8
