monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
352.7,4.0,284.0,0.0,0.0,8
352.8,8.0,50.0,0.0,0.0,8
352.9,36.0,139.0,0.0,0.0,8
353.0,122.0,398.0,0.0,0.0,8
353.1,122.0,398.0,0.0,0.0,8
353.2,180.0,434.0,0.0,0.0,8
353.3,237.0,418.0,0.0,0.0,8
353.4,295.0,329.0,0.0,0.0,8
353.5,476.0,70.0,0.0,0.0,8
353.6,476.0,70.0,0.0,0.0,8
353.7,595.0,37.0,0.0,0.0,8
353.8,1154.0,15.0,0.0,0.0,8
353.9,1997.0,0.0,0.0,0.0,8
354.0,2134.0,0.0,0.0,0.0,8
354.1,2134.0,0.0,0.0,0.0,8
354.2,2134.0,0.0,0.0,0.0,8
354.3,2134.0,0.0,0.0,0.0,8
354.4,2134.0,0.0,0.0,0.0,8
354.5,2134.0,0.0,0.0,0.0,8
354.6,2134.0,0.0,0.0,0.0,8
354.7,2134.0,0.0,0.0,0.0,8
354.8,2134.0,0.0,0.0,0.0,8
354.9,2134.0,0.0,0.0,0.0,8
355.0,2134.0,0.0,0.0,0.0,8
355.1,2134.0,0.0,0.0,0.0,8
355.2,2134.0,0.0,0.0,0.0,8
355.3,2134.0,0.0,0.0,0.0,8
355.4,2326.0,0.0,1290.321879109325,309343.0,8
355.5,2544.0,0.0,2985.61302051828,721750.0,8
355.6,2560.0,0.0,3407.087510970776,825000.0,8
355.7,2560.0,0.0,3407.087510970776,825000.0,8
355.8,2560.0,0.0,3407.087510970776,825000.0,8
355.9,2560.0,0.0,3407.087510970776,825000.0,8
356.0,2560.0,0.0,3407.087510970776,825000.0,8
356.1,2560.0,0.0,3407.087510970776,825000.0,8
356.2,2560.0,0.0,3407.087510970776,825000.0,8
356.3,2560.0,0.0,3407.087510970776,825000.0,8
356.4,2560.0,0.0,3407.087510970776,825000.0,8
356.5,2560.0,0.0,3407.087510970776,825000.0,8
356.6,2560.0,0.0,3407.087510970776,825000.0,8
356.7,2560.0,0.0,3407.087510970776,825000.0,8
356.8,2560.0,0.0,3407.087510970776,825000.0,8
356.9,2560.0,0.0,3407.087510970776,825000.0,8
357.0,2560.0,0.0,3407.087510970776,825000.0,8
357.1,2560.0,0.0,24911.049830245138,863400.0,8
357.2,2560.0,0.0,60455.77936958125,927400.0,8
357.3,2560.0,0.0,60455.77936958125,927400.0,8
357.4,2560.0,0.0,60455.77936958125,927400.0,8
357.5,2560.0,0.0,60455.77936958125,927400.0,8
357.6,2560.0,0.0,60455.77936958125,927400.0,8
357.7,2560.0,0.0,60455.77936958125,927400.0,8
357.8,2560.0,0.0,60455.77936958125,927400.0,8
357.9,2560.0,0.0,60455.77936958125,927400.0,8
358.0,2560.0,0.0,60455.77936958125,927400.0,8
358.1,2560.0,0.0,60455.77936958125,927400.0,8
358.2,2560.0,0.0,60455.77936958125,927400.0,8
358.3,2560.0,0.0,60455.77936958125,927400.0,8
358.4,2560.0,0.0,60455.77936958125,927400.0,8
358.5,2560.0,0.0,60455.77936958125,927400.0,8
358.6,2560.0,0.0,60455.77936958125,927400.0,8
358.7,2560.0,0.0,60455.77936958125,927400.0,8
358.8,2560.0,0.0,60455.77936958125,927400.0,8
358.9,2560.0,0.0,60455.77936958125,927400.0,8
359.0,2557.0,0.0,60455.77936958125,927400.0,8
359.1,2542.0,0.0,57032.8879917543,964956.0,8
359.2,2545.0,0.0,52544.41761967335,1015790.0,8
359.3,2547.0,0.0,51183.68749070604,1029712.0,8
359.4,2547.0,0.0,51183.68749070604,1029712.0,8
359.5,2543.0,0.0,51183.68749070604,1029712.0,8
359.6,2542.0,0.0,51183.68749070604,1029712.0,8
359.7,2544.0,0.0,51183.68749070604,1029712.0,8
359.8,2547.0,0.0,51183.68749070604,1029712.0,8
359.9,2547.0,0.0,51183.68749070604,1029712.0,8
360.0,2548.0,0.0,51183.68749070604,1029712.0,8
360.1,2548.0,0.0,51183.68749070604,1029712.0,8
360.2,2548.0,0.0,51183.68749070604,1029712.0,8
360.3,2548.0,0.0,51183.68749070604,1029712.0,8
360.4,2548.0,0.0,51183.68749070604,1029712.0,8
360.5,2550.0,0.0,51183.68749070604,1029712.0,8
360.6,2551.0,0.0,51183.68749070604,1029712.0,8
360.7,2553.0,0.0,51183.68749070604,1029712.0,8
360.8,2553.0,0.0,51183.68749070604,1029712.0,8
360.9,2554.0,0.0,51183.68749070604,1029712.0,8
361.0,2557.0,0.0,51183.68749070604,1029712.0,8
361.1,2557.0,0.0,51183.68749070604,1029712.0,8
361.2,2559.0,0.0,51183.68749070604,1029712.0,8
361.3,2556.0,0.0,51183.68749070604,1029712.0,8
361.4,2558.0,0.0,51183.68749070604,1029712.0,8
361.5,2552.0,0.0,51183.68749070604,1029712.0,8
361.6,2554.0,0.0,49684.886151349485,1050050.0,8
361.7,2549.0,0.0,48281.92339907143,1070280.0,8
361.8,2549.0,0.0,43970.27345409169,1129367.0,8
361.9,2552.0,0.0,40520.597243542004,1173891.0,8
362.0,2553.0,0.0,40520.597243542004,1173891.0,8
