monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
203.2,8.0,874.0,0.0,0.0,8
203.3,8.0,874.0,0.0,0.0,8
203.4,240.0,1995.0,0.0,0.0,8
203.5,240.0,1995.0,0.0,0.0,8
203.6,240.0,1995.0,0.0,0.0,8
203.7,240.0,1995.0,0.0,0.0,8
203.8,240.0,1995.0,0.0,0.0,8
203.9,240.0,1995.0,0.0,0.0,8
204.0,280.0,1995.0,101.79843290368883,22452.0,8
204.1,565.0,1995.0,819.1284531919288,181330.0,8
204.2,565.0,1995.0,819.1284531919288,181330.0,8
204.3,565.0,1995.0,819.1284531919288,181330.0,8
204.4,565.0,1995.0,819.1284531919288,181330.0,8
204.5,565.0,1995.0,819.1284531919288,181330.0,8
204.6,565.0,1995.0,819.1284531919288,181330.0,8
204.7,565.0,1995.0,819.1284531919288,181330.0,8
204.8,565.0,1995.0,32075.96479760632,203930.0,8
204.9,565.0,1995.0,32075.96479760632,203930.0,8
205.0,565.0,1995.0,32075.96479760632,203930.0,8
205.1,565.0,1995.0,32075.96479760632,203930.0,8
205.2,565.0,1995.0,32075.96479760632,203930.0,8
205.3,565.0,1995.0,32075.96479760632,203930.0,8
205.4,565.0,1995.0,32075.96479760632,203930.0,8
205.5,565.0,1995.0,31258.90463427294,226530.0,8
205.6,560.0,1885.0,31258.90463427294,226530.0,8
205.7,599.0,1797.0,31258.90463427294,226530.0,8
205.8,620.0,1787.0,31258.90463427294,226530.0,8
205.9,620.0,1787.0,31258.90463427294,226530.0,8
206.0,620.0,1787.0,31258.90463427294,226530.0,8
206.1,683.0,1757.0,31258.90463427294,226530.0,8
206.2,754.0,1728.0,31258.90463427294,226530.0,8
206.3,754.0,1728.0,31258.90463427294,226530.0,8
206.4,812.0,1718.0,32508.539406859643,303128.0,8
206.5,827.0,1706.0,32787.387241518816,329872.0,8
206.6,831.0,1696.0,32787.387241518816,329872.0,8
206.7,846.0,1673.0,32787.387241518816,329872.0,8
206.8,846.0,1673.0,32787.387241518816,329872.0,8
206.9,852.0,1670.0,32787.387241518816,329872.0,8
207.0,899.0,1640.0,32787.387241518816,329872.0,8
207.1,906.0,1635.0,32787.387241518816,329872.0,8
207.2,908.0,1633.0,32787.387241518816,329872.0,8
207.3,913.0,1633.0,33982.21930301769,344815.0,8
207.4,927.0,1633.0,37488.799691399734,387678.0,8
207.5,927.0,1633.0,37488.799691399734,387678.0,8
207.6,927.0,1633.0,37488.799691399734,387678.0,8
207.7,927.0,1633.0,37488.799691399734,387678.0,8
207.8,924.0,1623.0,37488.799691399734,387678.0,8
207.9,922.0,1615.0,37488.799691399734,387678.0,8
208.0,925.0,1612.0,37488.799691399734,387678.0,8
208.1,930.0,1596.0,37488.799691399734,387678.0,8
208.2,938.0,1590.0,37488.799691399734,387678.0,8
208.3,964.0,1582.0,39624.60318890704,423564.0,8
208.4,967.0,1576.0,40413.996994394714,434650.0,8
208.5,967.0,1561.0,40413.996994394714,434650.0,8
208.6,970.0,1555.0,40413.996994394714,434650.0,8
208.7,988.0,1543.0,40413.996994394714,434650.0,8
208.8,991.0,1541.0,40413.996994394714,434650.0,8
208.9,999.0,1534.0,40413.996994394714,434650.0,8
209.0,1009.0,1520.0,40413.996994394714,434650.0,8
209.1,1022.0,1509.0,40413.996994394714,434650.0,8
209.2,1043.0,1497.0,40413.996994394714,434650.0,8
209.3,1051.0,1493.0,40188.928772910156,441427.0,8
209.4,1064.0,1488.0,38324.11930308301,482339.0,8
209.5,1061.0,1485.0,38324.11930308301,482339.0,8
209.6,1063.0,1484.0,37400.99562682399,491210.0,8
209.7,1065.0,1472.0,37400.99562682399,491210.0,8
209.8,1075.0,1460.0,37400.99562682399,491210.0,8
209.9,1076.0,1458.0,37400.99562682399,491210.0,8
210.0,1090.0,1442.0,37400.99562682399,491210.0,8
210.1,1105.0,1435.0,37400.99562682399,491210.0,8
210.2,1115.0,1427.0,37400.99562682399,491210.0,8
210.3,1120.0,1424.0,37400.99562682399,491210.0,8
210.4,1125.0,1416.0,37400.99562682399,491210.0,8
210.5,1130.0,1411.0,37400.99562682399,491210.0,8
210.6,1138.0,1407.0,36114.38716283045,510380.0,8
210.7,1148.0,1397.0,34274.44355574676,531185.0,8
210.8,1157.0,1385.0,34274.44355574676,531185.0,8
210.9,1164.0,1377.0,34274.44355574676,531185.0,8
211.0,1168.0,1374.0,34253.34483945646,537479.0,8
211.1,1177.0,1366.0,34253.34483945646,537479.0,8
211.2,1189.0,1354.0,34253.34483945646,537479.0,8
211.3,1198.0,1344.0,34253.34483945646,537479.0,8
211.4,1202.0,1339.0,34253.34483945646,537479.0,8
211.5,1209.0,1330.0,34253.34483945646,537479.0,8
211.6,1221.0,1321.0,34253.34483945646,537479.0,8
211.7,1230.0,1313.0,34253.34483945646,537479.0,8
