monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
206.8,6.0,24.0,0.0,0.0,8
206.9,204.0,0.0,0.0,0.0,8
207.0,232.0,0.0,0.0,0.0,8
207.1,232.0,0.0,0.0,0.0,8
207.2,249.0,0.0,0.0,0.0,8
207.3,372.0,0.0,0.0,0.0,8
207.4,372.0,0.0,0.0,0.0,8
207.5,372.0,0.0,0.0,0.0,8
207.6,372.0,0.0,0.0,0.0,8
207.7,372.0,0.0,0.0,0.0,8
207.8,372.0,0.0,0.0,0.0,8
207.9,372.0,0.0,0.0,0.0,8
208.0,372.0,0.0,0.0,0.0,8
208.1,1024.0,0.0,1499.7641417316815,334816.0,8
208.2,1024.0,0.0,1499.7641417316815,334816.0,8
208.3,1024.0,0.0,1499.7641417316815,334816.0,8
208.4,1024.0,0.0,1499.7641417316815,334816.0,8
208.5,1024.0,0.0,1499.7641417316815,334816.0,8
208.6,1024.0,0.0,1499.7641417316815,334816.0,8
208.7,1024.0,0.0,1499.7641417316815,334816.0,8
208.8,263.0,0.0,30743.33192447874,93071.0,8
208.9,153.0,0.0,34966.975300599544,59101.0,8
209.0,146.0,1.0,34966.975300599544,59101.0,8
209.1,130.0,1.0,34966.975300599544,59101.0,8
209.2,119.0,1.0,34966.975300599544,59101.0,8
209.3,123.0,1.0,34966.975300599544,59101.0,8
209.4,152.0,1.0,34966.975300599544,59101.0,8
209.5,171.0,37.0,34966.975300599544,59101.0,8
209.6,200.0,133.0,34966.975300599544,59101.0,8
209.7,213.0,174.0,34966.975300599544,59101.0,8
209.8,233.0,238.0,34966.975300599544,59101.0,8
209.9,240.0,272.0,34966.975300599544,59101.0,8
210.0,244.0,267.0,34966.975300599544,59101.0,8
210.1,262.0,319.0,34966.975300599544,59101.0,8
210.2,269.0,339.0,34966.975300599544,59101.0,8
210.3,289.0,383.0,34966.975300599544,59101.0,8
210.4,303.0,406.0,34966.975300599544,59101.0,8
210.5,303.0,406.0,34966.975300599544,59101.0,8
210.6,363.0,423.0,34966.975300599544,59101.0,8
210.7,363.0,423.0,34966.975300599544,59101.0,8
210.8,408.0,374.0,34966.975300599544,59101.0,8
210.9,423.0,357.0,34966.975300599544,59101.0,8
211.0,423.0,357.0,34966.975300599544,59101.0,8
211.1,455.0,325.0,34966.975300599544,59101.0,8
211.2,487.0,292.0,34966.975300599544,59101.0,8
211.3,519.0,260.0,34966.975300599544,59101.0,8
211.4,551.0,228.0,34966.975300599544,59101.0,8
211.5,551.0,228.0,34966.975300599544,59101.0,8
211.6,567.0,211.0,34966.975300599544,59101.0,8
211.7,615.0,164.0,34966.975300599544,59101.0,8
